,t,ts
0,1806-01-31,-2.3246155
1,1806-02-28,-3.1734314
2,1806-03-31,-4.8792725
3,1806-04-30,-3.66687
4,1806-05-31,-1.6466064
5,1806-06-30,-2.00354
6,1806-07-31,-0.8576355
7,1806-08-31,-0.78326416
8,1806-09-30,-0.2041626
9,1806-10-31,-1.7769775
10,1806-11-30,-0.4196167
11,1806-12-31,-1.2801819
12,1807-01-31,-1.955658
13,1807-02-28,-2.9685364
14,1807-03-31,-4.235321
15,1807-04-30,-3.723114
16,1807-05-31,-1.8457947
17,1807-06-30,-1.5185547
18,1807-07-31,0.15002441
19,1807-08-31,1.0582886
20,1807-09-30,-1.3254089
21,1807-10-31,-2.2499695
22,1807-11-30,-2.3016968
23,1807-12-31,-2.092682
24,1808-01-31,-2.1290283
25,1808-02-29,-6.73526
26,1808-03-31,-7.515564
27,1808-04-30,-4.5018616
28,1808-05-31,-1.8103027
29,1808-06-30,-0.6197815
30,1808-07-31,0.0008239746
31,1808-08-31,-0.62680054
32,1808-09-30,-0.9603882
33,1808-10-31,-2.421753
34,1808-11-30,-1.9225159
35,1808-12-31,-3.5769653
36,1809-01-31,-2.2528381
37,1809-02-28,-0.26004028
38,1809-03-31,-1.9191895
39,1809-04-30,-2.740631
40,1809-05-31,-1.1707764
41,1809-06-30,-1.640625
42,1809-07-31,-0.63305664
43,1809-08-31,-0.056243896
44,1809-09-30,-0.81207275
45,1809-10-31,-1.966095
46,1809-11-30,-2.671692
47,1809-12-31,-0.522522
48,1810-01-31,-1.6246033
49,1810-02-28,-1.9180908
50,1810-03-31,-3.6764526
51,1810-04-30,-3.8139648
52,1810-05-31,-2.527649
53,1810-06-30,-1.8606262
54,1810-07-31,-0.20080566
55,1810-08-31,-0.4913025
56,1810-09-30,-0.5679016
57,1810-10-31,-1.8495789
58,1810-11-30,-2.7079468
59,1810-12-31,-2.0112305
60,1811-01-31,-1.3919373
61,1811-02-28,-2.018097
62,1811-03-31,-1.9151611
63,1811-04-30,-4.509796
64,1811-05-31,-2.7639465
65,1811-06-30,-1.5985413
66,1811-07-31,-1.0068359
67,1811-08-31,-1.2864685
68,1811-09-30,-2.1166382
69,1811-10-31,-2.02536
70,1811-11-30,-2.6829224
71,1811-12-31,-1.4838257
72,1812-01-31,-1.4363098
73,1812-02-29,-1.5300903
74,1812-03-31,-5.3385315
75,1812-04-30,-4.3910217
76,1812-05-31,-1.2723999
77,1812-06-30,-0.7685547
78,1812-07-31,-1.0677185
79,1812-08-31,-0.61672974
80,1812-09-30,-1.7316589
81,1812-10-31,-2.0507812
82,1812-11-30,-2.9575195
83,1812-12-31,-2.1958923
84,1813-01-31,-2.2052612
85,1813-02-28,-2.1497803
86,1813-03-31,-4.309906
87,1813-04-30,-2.966858
88,1813-05-31,-2.874817
89,1813-06-30,-1.1806335
90,1813-07-31,0.6512146
91,1813-08-31,-0.7441406
92,1813-09-30,-0.9003906
93,1813-10-31,-2.8608398
94,1813-11-30,-1.5716858
95,1813-12-31,-2.309204
96,1814-01-31,-4.032257
97,1814-02-28,-3.2430725
98,1814-03-31,-4.970398
99,1814-04-30,-1.298523
100,1814-05-31,-1.8260193
101,1814-06-30,-1.1814575
