,t,ts
0,1806-01-31,0.73055696
1,1806-02-28,0.020721568
2,1806-03-31,-1.077213
3,1806-04-30,-1.3102777
4,1806-05-31,-0.5052253
5,1806-06-30,-1.2344223
6,1806-07-31,-0.28915462
7,1806-08-31,-0.09563697
8,1806-09-30,0.5245112
9,1806-10-31,-0.7032199
10,1806-11-30,0.57621294
11,1806-12-31,0.9105952
12,1807-01-31,0.1759772
13,1807-02-28,-0.011340331
14,1807-03-31,-1.1725925
15,1807-04-30,-0.74400985
16,1807-05-31,-0.4500928
17,1807-06-30,-0.9995107
18,1807-07-31,0.4603977
19,1807-08-31,1.3018886
20,1807-09-30,-0.40564203
21,1807-10-31,-0.92114973
22,1807-11-30,-0.37575662
23,1807-12-31,-0.49960363
24,1808-01-31,-0.11181255
25,1808-02-29,-1.7299098
26,1808-03-31,-3.6671543
27,1808-04-30,-1.4643475
28,1808-05-31,-0.5875946
29,1808-06-30,-0.40502444
30,1808-07-31,0.39052856
31,1808-08-31,-0.12181622
32,1808-09-30,-0.19432577
33,1808-10-31,-1.1618283
34,1808-11-30,-0.77895933
35,1808-12-31,-1.9602038
36,1809-01-31,-0.049354665
37,1809-02-28,1.9983047
38,1809-03-31,-0.123587064
39,1809-04-30,-0.4466971
40,1809-05-31,-0.2791631
41,1809-06-30,-0.9151699
42,1809-07-31,-0.20466965
43,1809-08-31,0.34954557
44,1809-09-30,0.16393526
45,1809-10-31,-0.9669436
46,1809-11-30,-1.5831444
47,1809-12-31,0.9952959
48,1810-01-31,0.21704355
49,1810-02-28,0.9566668
50,1810-03-31,-0.1721778
51,1810-04-30,-1.2904006
52,1810-05-31,-1.3506331
53,1810-06-30,-1.1789718
54,1810-07-31,0.07426722
55,1810-08-31,-0.06707163
56,1810-09-30,0.28222075
57,1810-10-31,-0.9798396
58,1810-11-30,-1.0064589
59,1810-12-31,-0.029063925
60,1811-01-31,0.3571581
61,1811-02-28,1.3124083
62,1811-03-31,0.70288265
63,1811-04-30,-1.5070577
64,1811-05-31,-0.9903048
65,1811-06-30,-0.7174068
66,1811-07-31,-0.26935428
67,1811-08-31,-0.32437557
68,1811-09-30,-0.93942475
69,1811-10-31,-0.5649689
70,1811-11-30,-1.2671201
71,1811-12-31,0.2975998
72,1812-01-31,0.46733472
73,1812-02-29,1.0103765
74,1812-03-31,-1.6999606
75,1812-04-30,-1.3496708
76,1812-05-31,-0.24570797
77,1812-06-30,-0.20971526
78,1812-07-31,-0.3889885
79,1812-08-31,-0.020739283
80,1812-09-30,-0.9557922
81,1812-10-31,-0.4259821
82,1812-11-30,-1.4869081
83,1812-12-31,-0.82807034
84,1813-01-31,-0.500702
85,1813-02-28,1.8158237
86,1813-03-31,-1.0744519
87,1813-04-30,-0.47880626
88,1813-05-31,-1.4448237
89,1813-06-30,-0.42033473
90,1813-07-31,0.74630994
91,1813-08-31,-0.4179394
92,1813-09-30,0.0561249
93,1813-10-31,-1.2877587
94,1813-11-30,-0.46516997
95,1813-12-31,-0.46901888
96,1814-01-31,-1.3482362
97,1814-02-28,-0.091515645
98,1814-03-31,-1.0735402
99,1814-04-30,0.7964644
100,1814-05-31,-0.86489373
101,1814-06-30,-0.55963284
102,1814-07-31,0.19823702
103,1814-08-31,-0.022313097
104,1814-09-30,0.2105392
105,1814-10-31,-0.6571543
106,1814-11-30,-0.21106777
107,1814-12-31,-0.22801048
108,1815-01-31,-0.7340451
109,1815-02-28,1.5621085
110,1815-03-31,0.93049276
111,1815-04-30,-0.4068874
112,1815-05-31,-1.5265573
113,1815-06-30,-0.4713159
114,1815-07-31,-0.31896374
115,1815-08-31,0.05951295
116,1815-09-30,-0.26573315
117,1815-10-31,-0.42774546
118,1815-11-30,-1.200088
119,1815-12-31,-0.7437373
120,1816-01-31,0.46486127
121,1816-02-29,-1.6019967
122,1816-03-31,-1.3382633
123,1816-04-30,-1.683812
124,1816-05-31,-1.6338379
125,1816-06-30,-0.8852984
126,1816-07-31,0.13736126
127,1816-08-31,-1.4492936
128,1816-09-30,-0.8045733
129,1816-10-31,-1.390411
130,1816-11-30,-1.0655917
131,1816-12-31,0.0011711532
132,1817-01-31,2.4462852
133,1817-02-28,1.6869793
134,1817-03-31,-1.3215935
135,1817-04-30,-1.7634836
136,1817-05-31,-1.3158321
137,1817-06-30,-0.14242601
138,1817-07-31,-0.2525149
139,1817-08-31,-0.34205824
140,1817-09-30,0.53859407
141,1817-10-31,-1.266305
