,t,ts
0,1806-01-31,-2.8709717
1,1806-02-28,-5.252228
2,1806-03-31,-3.6407166
3,1806-04-30,2.1608276
4,1806-05-31,9.7221985
5,1806-06-30,12.335846
6,1806-07-31,15.960907
7,1806-08-31,15.760895
8,1806-09-30,12.630829
9,1806-10-31,7.1169434
10,1806-11-30,3.744995
11,1806-12-31,0.54556274
12,1807-01-31,-3.3237915
13,1807-02-28,-4.1879272
14,1807-03-31,-2.8540344
15,1807-04-30,3.0579224
16,1807-05-31,9.541138
17,1807-06-30,13.569183
18,1807-07-31,17.895966
19,1807-08-31,18.5867
20,1807-09-30,11.352509
21,1807-10-31,6.7697754
22,1807-11-30,2.205017
23,1807-12-31,-1.6753845
24,1808-01-31,-3.5253906
25,1808-02-29,-8.220245
26,1808-03-31,-7.8306274
27,1808-04-30,1.0841675
28,1808-05-31,9.143951
29,1808-06-30,14.817932
30,1808-07-31,17.912903
31,1808-08-31,16.11734
32,1808-09-30,11.856262
33,1808-10-31,6.2842712
34,1808-11-30,2.0587463
35,1808-12-31,-3.490326
36,1809-01-31,-3.8023987
37,1809-02-28,-1.5031128
38,1809-03-31,-0.42700195
39,1809-04-30,3.0946045
40,1809-05-31,10.101624
41,1809-06-30,12.924591
42,1809-07-31,16.69638
43,1809-08-31,16.56009
44,1809-09-30,12.55542
45,1809-10-31,6.819763
46,1809-11-30,1.167511
47,1809-12-31,0.5863037
48,1810-01-31,-2.6060486
49,1810-02-28,-2.8174133
50,1810-03-31,-1.505249
51,1810-04-30,1.6495972
52,1810-05-31,8.291534
53,1810-06-30,12.807922
54,1810-07-31,16.887909
55,1810-08-31,15.929047
56,1810-09-30,12.219574
57,1810-10-31,7.0133057
58,1810-11-30,2.0720825
59,1810-12-31,-1.0370789
60,1811-01-31,-2.7278137
61,1811-02-28,-2.695984
62,1811-03-31,0.21450806
63,1811-04-30,0.92666626
64,1811-05-31,8.107666
65,1811-06-30,13.571259
66,1811-07-31,16.134674
67,1811-08-31,15.497986
68,1811-09-30,10.441254
69,1811-10-31,6.9371033
70,1811-11-30,1.1270752
71,1811-12-31,-0.5290222
72,1812-01-31,-3.110077
73,1812-02-29,-2.6745605
74,1812-03-31,-3.7681274
75,1812-04-30,1.9816589
76,1812-05-31,10.6137085
77,1812-06-30,14.472931
78,1812-07-31,15.4661255
79,1812-08-31,15.935089
80,1812-09-30,10.777924
81,1812-10-31,7.5992126
82,1812-11-30,0.65249634
83,1812-12-31,-1.7225647
84,1813-01-31,-3.3165283
85,1813-02-28,-2.0446472
86,1813-03-31,-2.3705444
87,1813-04-30,3.3112488
88,1813-05-31,7.8838806
89,1813-06-30,14.3220825
90,1813-07-31,18.504028
91,1813-08-31,15.402435
92,1813-09-30,12.0208435
93,1813-10-31,5.795166
94,1813-11-30,2.5933533
95,1813-12-31,-1.6762085
96,1814-01-31,-4.8121033
97,1814-02-28,-5.0888367
98,1814-03-31,-3.7487793
99,1814-04-30,5.698761
100,1814-05-31,9.112091
101,1814-06-30,13.814575
102,1814-07-31,17.19516
103,1814-08-31,16.135498
104,1814-09-30,12.407501
105,1814-10-31,6.950409
106,1814-11-30,2.18042
107,1814-12-31,-1.2778015
108,1815-01-31,-3.8604736
109,1815-02-28,-2.0499878
110,1815-03-31,0.13912964
111,1815-04-30,3.6037598
112,1815-05-31,7.6169434
113,1815-06-30,13.754578
114,1815-07-31,15.750397
115,1815-08-31,16.037903
116,1815-09-30,11.346252
117,1815-10-31,7.427826
118,1815-11-30,1.1933289
119,1815-12-31,-1.7286377
120,1816-01-31,-2.6322632
121,1816-02-29,-7.7353516
122,1816-03-31,-4.839905
123,1816-04-30,0.15374756
124,1816-05-31,7.1685486
125,1816-06-30,13.165009
126,1816-07-31,17.256866
127,1816-08-31,13.453644
128,1816-09-30,10.780853
129,1816-10-31,5.93631
130,1816-11-30,1.1462708
131,1816-12-31,-0.6983948
132,1817-01-31,0.113708496
133,1817-02-28,-1.7062378
134,1817-03-31,-3.3511963
135,1817-04-30,0.93499756
136,1817-05-31,8.113312
137,1817-06-30,14.749603
138,1817-07-31,16.45929
139,1817-08-31,15.268555
140,1817-09-30,12.837921
141,1817-10-31,6.2738037
142,1817-11-30,3.0391846
143,1817-12-31,-2.5641174
144,1818-01-31,-1.3915405
145,1818-02-28,-2.8839111
146,1818-03-31,-2.3181458
147,1818-04-30,0.6262512
148,1818-05-31,8.411713
149,1818-06-30,13.75293
150,1818-07-31,18.103241
151,1818-08-31,16.194763
152,1818-09-30,12.19043
153,1818-10-31,8.406464
154,1818-11-30,2.6862488
155,1818-12-31,-0.32458496
156,1819-01-31,-1.9153137
157,1819-02-28,-5.9763184
158,1819-03-31,-5.3165283
159,1819-04-30,0.52960205
160,1819-05-31,8.212921
161,1819-06-30,14.981659
162,1819-07-31,16.66977
163,1819-08-31,16.939514
164,1819-09-30,12.084991
165,1819-10-31,6.9112854
166,1819-11-30,0.80874634
167,1819-12-31,-2.1394958
168,1820-01-31,-3.4733887
169,1820-02-29,-2.2724
170,1820-03-31,-3.5729675
171,1820-04-30,3.3891602
172,1820-05-31,9.418945
173,1820-06-30,13.386261
174,1820-07-31,16.221771
175,1820-08-31,15.3185425
176,1820-09-30,11.202515
177,1820-10-31,7.4044495
178,1820-11-30,0.6758423
179,1820-12-31,-2.0907288
180,1821-01-31,-2.0467834
181,1821-02-28,-3.1433105
182,1821-03-31,-3.9919434
183,1821-04-30,2.5200195
184,1821-05-31,8.285889
185,1821-06-30,12.175415
186,1821-07-31,15.312103
187,1821-08-31,15.041138
188,1821-09-30,11.737091
189,1821-10-31,7.4423523
190,1821-11-30,2.09375
191,1821-12-31,-1.2217712
192,1822-01-31,-4.3064575
193,1822-02-28,-1.65625
194,1822-03-31,-0.19958496
195,1822-04-30,2.8000183
196,1822-05-31,8.711304
197,1822-06-30,12.793335
198,1822-07-31,17.14798
199,1822-08-31,16.253235
200,1822-09-30,11.126678
201,1822-10-31,6.1794434
202,1822-11-30,2.9620972
203,1822-12-31,-0.22943115
204,1823-01-31,-4.069336
205,1823-02-28,-4.6517944
206,1823-03-31,-3.3657227
207,1823-04-30,2.3454285
208,1823-05-31,9.082275
209,1823-06-30,13.9591675
210,1823-07-31,16.651611
211,1823-08-31,16.253235
212,1823-09-30,11.620422
213,1823-10-31,7.8568726
214,1823-11-30,1.9412537
215,1823-12-31,-1.4681396
216,1824-01-31,-4.127411
217,1824-02-29,-7.3258667
218,1824-03-31,-5.9737854
219,1824-04-30,0.18624878
220,1824-05-31,8.785492
221,1824-06-30,14.566254
222,1824-07-31,16.188324
223,1824-08-31,15.935089
224,1824-09-30,13.010834
225,1824-10-31,5.549591
226,1824-11-30,2.0287476
227,1824-12-31,-0.85321045
228,1825-01-31,-3.4068604
229,1825-02-28,-2.3089294
230,1825-03-31,-2.2132874
231,1825-04-30,2.2283325
232,1825-05-31,8.893951
233,1825-06-30,13.261688
234,1825-07-31,17.28064
235,1825-08-31,16.157257
236,1825-09-30,12.1145935
237,1825-10-31,7.516144
238,1825-11-30,2.1900024
239,1825-12-31,-1.6653137
240,1826-01-31,-4.4100647
241,1826-02-28,-0.4499817
242,1826-03-31,-0.3786316
243,1826-04-30,2.7687683
244,1826-05-31,8.607269
245,1826-06-30,15.528748
246,1826-07-31,18.514923
247,1826-08-31,16.52945
248,1826-09-30,11.65918
249,1826-10-31,7.427429
250,1826-11-30,1.6487427
251,1826-12-31,-1.6161194
252,1827-01-31,-4.506836
253,1827-02-28,-6.92276
254,1827-03-31,-0.28305054
255,1827-04-30,3.0316772
256,1827-05-31,9.899597
257,1827-06-30,14.71875
258,1827-07-31,16.56372
259,1827-08-31,15.906067
260,1827-09-30,12.497101
261,1827-10-31,7.444763
262,1827-11-30,1.0604248
263,1827-12-31,0.5314636
264,1828-01-31,-3.0386963
265,1828-02-29,-6.516815
266,1828-03-31,-4.0257874
267,1828-04-30,2.3291626
268,1828-05-31,9.111298
269,1828-06-30,15.153748
270,1828-07-31,17.339508
271,1828-08-31,15.510498
272,1828-09-30,12.414185
273,1828-10-31,6.6608887
274,1828-11-30,2.260437
275,1828-12-31,-0.7411194
276,1829-01-31,-6.301605
277,1829-02-28,-7.0138245
